"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"220553","occ","","","21894","Chlorocebus aethiops","species","92707","Holocene","","0.0117","0","5210"
"220566","occ","","","21895","Papio","genus","40871","Holocene","","0.0117","0","5210"
"220580","occ","","","21895","Chlorocebus aethiops","species","92707","Holocene","","0.0117","0","5210"
"220602","occ","","","21896","Papio","genus","40871","Holocene","","0.0117","0","5227"
"220604","occ","","","21896","Homo sapiens","species","83088","Holocene","","0.0117","0","5227"
"220652","occ","","","21909","Papio","genus","40871","Holocene","","0.0117","0","5214"
"220666","occ","","","21911","Papio","genus","40871","Holocene","","0.0117","0","5213"
"220684","occ","","","21912","Papio","genus","40871","Holocene","","0.0117","0","5214"
"220698","occ","","","21915","Papio","genus","40871","Pleistocene","","2.588","0.0117","5214"
"220727","occ","","","21916","Papio","genus","40871","Pleistocene","","2.588","0.0117","5235"
"220732","occ","","","21916","Homo sapiens","species","83088","Pleistocene","","2.588","0.0117","5235"
"220752","occ","","","21917","Papio","genus","40871","Holocene","","0.0117","0","5234"
"220770","occ","","","21918","Papio","genus","40871","Holocene","","0.0117","0","5234"
"220777","occ","","","21919","Homo sapiens","species","83088","Holocene","","0.0117","0","5234"
"220794","occ","","","21930","Homo sapiens","species","83088","Holocene","","0.0117","0","5240"
"220839","occ","","","21940","Papio","genus","40871","Holocene","","0.0117","0","5214"
"220864","occ","","","21944","Homo sapiens","species","83088","Holocene","","0.0117","0","5214"
"220869","occ","","","21945","Homo sapiens","species","83088","Holocene","","0.0117","0","5214"
"220918","occ","","","21948","Papio","genus","40871","Pleistocene","Holocene","2.588","0","5246"
"220920","occ","","","21948","Homo sapiens","species","83088","Pleistocene","Holocene","2.588","0","5246"
"220961","occ","","","21949","Papio","genus","40871","Pleistocene","Holocene","2.588","0","5248"
"220964","occ","","","21949","Chlorocebus aethiops","species","92707","Pleistocene","Holocene","2.588","0","5248"
"220991","occ","","","21950","Papio","genus","40871","Pleistocene","Holocene","2.588","0","5249"
"221027","occ","","","21951","Papio","genus","40871","Pleistocene","Holocene","2.588","0","5250"
"221032","occ","","","21951","Homo sapiens","species","83088","Pleistocene","Holocene","2.588","0","5250"
"221228","occ","","","22568","Papio","genus","40871","Pliocene","Pleistocene","5.333","0.0117","5624"
"221326","occ","","","21276","Papio","genus","40871","Middle Pleistocene","Late Pleistocene","0.781","0.0117","4430"
"221357","occ","","","21277","Papio","genus","40871","Middle Pleistocene","Late Pleistocene","0.781","0.0117","4430"
"221369","occ","","","21277","Homo","genus","40901","Middle Pleistocene","Late Pleistocene","0.781","0.0117","4430"
"221376","occ","","","21280","Theropithecus","genus","40879","Gelasian","","2.588","1.806","4454"
"221403","occ","","","21282","Theropithecus","genus","40879","Gelasian","","2.588","1.806","4454"
"221414","occ","","","21282","Cercopithecidae","family","40860","Gelasian","","2.588","1.806","4454"
"221415","occ","","","21282","Cercopithecidae","family","40860","Gelasian","","2.588","1.806","4454"
"221416","occ","","","21282","Cercopithecidae","family","40860","Gelasian","","2.588","1.806","4454"
"221437","occ","","","21283","Theropithecus","genus","40879","Gelasian","","2.588","1.806","4454"
"221448","occ","","","21283","Cercopithecidae","family","40860","Gelasian","","2.588","1.806","4454"
"221449","occ","","","21283","Cercopithecidae","family","40860","Gelasian","","2.588","1.806","4454"
"221454","occ","","","21283","Parapapio","genus","40874","Gelasian","","2.588","1.806","4454"
"221455","occ","","","21283","Parapapio","genus","40874","Gelasian","","2.588","1.806","4454"
"221456","occ","","","21283","Cercopithecidae","family","40860","Gelasian","","2.588","1.806","4454"
"221500","occ","","","21289","Theropithecus","genus","40879","Late Pliocene","Early Pleistocene","3.6","0.781","4454"
"221509","occ","","","21291","Theropithecus oswaldi","species","133586","Late Pliocene","Early Pleistocene","3.6","0.781","4454"
"221516","occ","","","21291","Cercopithecidae","family","40860","Late Pliocene","Early Pleistocene","3.6","0.781","4454"
"221557","occ","","","21298","Theropithecus oswaldi","species","133586","Calabrian","","1.806","0.781","4454"
"221586","occ","","","21305","Theropithecus oswaldi","species","133586","Gelasian","","2.588","1.806","4454"
"221633","occ","24763","","21338","Equatorius africanus","species","100573","Serravallian","","13.82","11.62","36156"
"221647","occ","","","21339","Sivapithecus","genus","40898","Serravallian","","13.82","11.62","4653"
"221657","occ","","","21339","Victoriapithecus macinnesi","species","135923","Serravallian","","13.82","11.62","4653"
"221658","occ","","","21339","Equatorius africanus","species","100573","Serravallian","","13.82","11.62","4653"
"221659","occ","","","21339","Sivapithecus","genus","40898","Serravallian","","13.82","11.62","4653"
"221660","occ","","","21339","Hominidae","family","40899","Serravallian","","13.82","11.62","4653"
"221661","occ","","","21339","Dryopithecus","genus","40893","Serravallian","","13.82","11.62","4653"
"221692","occ","","","21343","Theropithecus oswaldi","species","133586","Calabrian","","1.806","0.781","4454"
"221700","occ","","","21343","Cercopithecidae","family","40860","Calabrian","","1.806","0.781","4454"
"221720","occ","","","21344","Theropithecus","genus","40879","Piacenzian","Gelasian","3.6","1.806","4454"
"221725","occ","","","21344","Cercopithecidae","family","40860","Piacenzian","Gelasian","3.6","1.806","4454"
"221726","occ","","","21344","Cercopithecidae","family","40860","Piacenzian","Gelasian","3.6","1.806","4454"
"221740","occ","","","21345","Theropithecus","genus","40879","Gelasian","","2.588","1.806","4454"
"221751","occ","","","21345","Cercopithecidae","family","40860","Gelasian","","2.588","1.806","4454"
"221755","occ","","","21345","Parapapio","genus","40874","Gelasian","","2.588","1.806","4454"
"221756","occ","","","21345","Cercopithecidae","family","40860","Gelasian","","2.588","1.806","4454"
"221769","occ","","","21346","Australopithecus boisei","species","83068","Gelasian","","2.588","1.806","4454"
"221775","occ","","","21347","Theropithecus oswaldi","species","133586","Calabrian","","1.806","0.781","4454"
"221796","occ","","","21348","Theropithecus oswaldi","species","133586","Calabrian","","1.806","0.781","4454"
"221827","occ","","","21352","Theropithecus oswaldi","species","133586","Late Pliocene","Early Pleistocene","3.6","0.781","4454"
"221852","occ","","","21353","Cercopithecidae","family","40860","Gelasian","","2.588","1.806","4454"
"221862","occ","","","21354","Theropithecus","genus","40879","Gelasian","","2.588","1.806","4454"
"221870","occ","","","21354","Cercopithecidae","family","40860","Gelasian","","2.588","1.806","4454"
"221873","occ","","","21354","Cercopithecidae","family","40860","Gelasian","","2.588","1.806","4454"
"221879","occ","","","21354","Australopithecus boisei","species","83068","Gelasian","","2.588","1.806","4454"
"221880","occ","","","21354","Paracolobus","genus","40872","Gelasian","","2.588","1.806","4454"
"221886","occ","","","21355","Theropithecus","genus","40879","Gelasian","","2.588","1.806","4454"
"221905","occ","","","21358","Cercopithecidae","family","40860","Late Pleistocene","","0.126","0.0117","4454"
"221910","occ","","","21360","Homo erectus","species","83084","Calabrian","","1.806","0.781","4454"
"221934","occ","","","21367","Australopithecus boisei","species","83068","Late Pliocene","Calabrian","3.6","0.781","8610"
"221952","occ","","","21367","Homo erectus","species","83084","Late Pliocene","Calabrian","3.6","0.781","8610"
"221978","occ","","","21368","Homo erectus","species","83084","Calabrian","","1.806","0.781","4469"
"221990","occ","","","21369","Colobus","genus","40864","Pliocene","Pleistocene","5.333","0.0117","4469"
"221991","occ","","","21369","Theropithecus oswaldi","species","133586","Pliocene","Pleistocene","5.333","0.0117","4469"
"222008","occ","","","21370","Cercopithecoides","genus","40863","Late Pliocene","Calabrian","3.6","0.781","4447"
"222022","occ","","","21370","Australopithecus boisei","species","83068","Late Pliocene","Calabrian","3.6","0.781","8610"
"222034","occ","","","21370","Homo erectus","species","83084","Late Pliocene","Calabrian","3.6","0.781","8610"
"222042","occ","","","21370","Australopithecus boisei","species","83068","Late Pliocene","Calabrian","3.6","0.781","8610"
"222093","occ","","","21396","Australopithecus boisei","species","83068","Early Pleistocene","","2.588","0.781","8610"
"222102","occ","","","21396","Australopithecus boisei","species","83068","Early Pleistocene","","2.588","0.781","8610"
"222104","occ","","","21396","Homo habilis","species","83082","Early Pleistocene","","2.588","0.781","8610"
"222111","occ","","","21398","Cercopithecoides","genus","40863","Gelasian","","2.588","1.806","4447"
"222145","occ","","","21398","Cercopithecoides","genus","40863","Gelasian","","2.588","1.806","4447"
"222149","occ","","","21399","Cercopithecidae","family","40860","Pliocene","Calabrian","5.333","0.781","4488"
"222154","occ","","","21402","Homo","genus","40901","Calabrian","","1.806","0.781","8610"
"222199","occ","","","21403","Australopithecus boisei","species","83068","Calabrian","","1.806","0.781","4469"
"222208","occ","","","21403","Homo erectus","species","83084","Calabrian","","1.806","0.781","4469"
"222210","occ","","","21403","Australopithecus boisei","species","83068","Calabrian","","1.806","0.781","4469"
"222251","occ","","","21413","Homo erectus","species","83084","Calabrian","","1.806","0.781","8610"
"222252","occ","","","21414","Theropithecus oswaldi","species","133586","Pliocene","Pleistocene","5.333","0.0117","4447"
"222273","occ","","","21416","Theropithecus oswaldi","species","133586","Pleistocene","","2.588","0.0117","4469"
"222274","occ","","","21417","Theropithecus oswaldi","species","133586","Pliocene","Pleistocene","5.333","0.0117","4447"
"222279","occ","","","21418","Homo erectus","species","83084","Gelasian","","2.588","1.806","8610"
"222292","occ","","","21418","Cercopithecoides","genus","40863","Gelasian","","2.588","1.806","4735"
"222294","occ","","","21418","Homo habilis","species","83082","Gelasian","","2.588","1.806","8610"
"222314","occ","","","21420","Australopithecus boisei","species","83068","Gelasian","","2.588","1.806","8610"
"222315","occ","","","21420","Cercopithecoides","genus","40863","Gelasian","","2.588","1.806","4447"
"222364","occ","","","21428","Theropithecus","genus","40879","Zanclean","","5.333","3.6","4447"
"222390","occ","","","21441","Australopithecus boisei","species","83068","Calabrian","","1.806","0.781","8610"
"222391","occ","","","21441","Homo erectus","species","83084","Calabrian","","1.806","0.781","8610"
"222392","occ","","","21441","Australopithecus boisei","species","83068","Calabrian","","1.806","0.781","8610"
"222393","occ","","","21442","Colobus","genus","40864","Pliocene","Pleistocene","5.333","0.0117","4760"
"222394","occ","","","21442","Theropithecus oswaldi","species","133586","Pliocene","Pleistocene","5.333","0.0117","4760"
"222405","occ","","","21442","Cercocebus","genus","40861","Pliocene","Pleistocene","5.333","0.0117","4760"
"222434","occ","","","21445","Homo erectus","species","83084","Pliocene","Pleistocene","5.333","0.0117","8610"
"222437","occ","","","21446","Theropithecus oswaldi","species","133586","Pliocene","Pleistocene","5.333","0.0117","4469"
"222443","occ","","","21446","Cercocebus","genus","40861","Pliocene","Pleistocene","5.333","0.0117","4469"
"222471","occ","","","21451","Theropithecus oswaldi","species","133586","Pliocene","Pleistocene","5.333","0.0117","4469"
"222482","occ","","","21451","Cercocebus","genus","40861","Pliocene","Pleistocene","5.333","0.0117","4469"
"222498","occ","","","21453","Theropithecus oswaldi","species","133586","Pliocene","Pleistocene","5.333","0.0117","4469"
"222531","occ","","","21455","Australopithecus boisei","species","83068","Calabrian","","1.806","0.781","8610"
"222532","occ","","","21455","Homo erectus","species","83084","Calabrian","","1.806","0.781","8610"
"222533","occ","","","21455","Australopithecus boisei","species","83068","Calabrian","","1.806","0.781","8610"
"222534","occ","","","21456","Colobus","genus","40864","Pliocene","Pleistocene","5.333","0.0117","4486"
"222535","occ","","","21456","Theropithecus oswaldi","species","133586","Pliocene","Pleistocene","5.333","0.0117","4486"
"222543","occ","","","21456","Cercocebus","genus","40861","Pliocene","Pleistocene","5.333","0.0117","4486"
"222627","occ","","","21461","Australopithecus boisei","species","83068","Gelasian","","2.588","1.806","10321"
"222660","occ","","","21462","Australopithecus boisei","species","83068","Late Pliocene","Calabrian","3.6","0.781","8610"
"222697","occ","","","21464","Australopithecus boisei","species","83068","Late Pliocene","Calabrian","3.6","0.781","8610"
"222705","occ","","","21466","Theropithecus oswaldi","species","133586","Pliocene","Pleistocene","5.333","0.0117","4469"
"222725","occ","","","21468","Australopithecus boisei","species","83068","Calabrian","","1.806","0.781","8610"
"222727","occ","","","21470","Theropithecus oswaldi","species","133586","Pliocene","Pleistocene","5.333","0.0117","4488"
"222760","occ","","","21473","Theropithecus oswaldi","species","133586","Pliocene","Pleistocene","5.333","0.0117","4469"
"222829","occ","","","21478","Homo habilis","species","83082","Gelasian","","2.588","1.806","8610"
"222886","occ","","","21484","Australopithecus","genus","40900","Piacenzian","","3.6","2.588","8610"
"222924","occ","","","21490","Theropithecus oswaldi","species","133586","Pliocene","Calabrian","5.333","0.781","4455"
"222933","occ","","","21490","Chlorocebus aethiops","species","92707","Pliocene","Calabrian","5.333","0.781","4455"
"222949","occ","","","21495","Australopithecus boisei","species","83068","Pliocene","Pleistocene","5.333","0.0117","4469"
"222986","occ","","","21498","Homo","genus","40901","Pliocene","Calabrian","5.333","0.781","8610"
"222993","occ","","","21498","Australopithecus boisei","species","83068","Pliocene","Calabrian","5.333","0.781","8610"
"223004","occ","","","21499","Theropithecus oswaldi","species","133586","Pliocene","Pleistocene","5.333","0.0117","4447"
"223016","occ","","","21500","Theropithecus oswaldi","species","133586","Pliocene","Pleistocene","5.333","0.0117","4469"
"223026","occ","","","21500","Cercopithecidae","family","40860","Pliocene","Pleistocene","5.333","0.0117","4469"
"223042","occ","","","21502","Australopithecus boisei","species","83068","Pliocene","Calabrian","5.333","0.781","8610"
"223050","occ","","","21502","Homo habilis","species","83082","Pliocene","Calabrian","5.333","0.781","8610"
"223062","occ","","","21503","Homo","genus","40901","Gelasian","","2.588","1.806","8610"
"223091","occ","","","21503","Cercopithecoides","genus","40863","Gelasian","","2.588","1.806","4447"
"223092","occ","","","21503","Paracolobus","genus","40872","Gelasian","","2.588","1.806","4447"
"223095","occ","","","21504","Homo","genus","40901","Gelasian","","2.588","1.806","8610"
"223113","occ","","","21504","Australopithecus boisei","species","83068","Gelasian","","2.588","1.806","8610"
"223127","occ","","","21504","Cercopithecoides","genus","40863","Gelasian","","2.588","1.806","4730"
"223129","occ","","","21506","Papio","genus","40871","Pliocene","Pleistocene","5.333","0.0117","4447"
"223130","occ","","","21506","Theropithecus oswaldi","species","133586","Pliocene","Pleistocene","5.333","0.0117","4447"
"223134","occ","","","21506","Cercopithecidae","family","40860","Pliocene","Pleistocene","5.333","0.0117","4447"
"223138","occ","","","21507","Australopithecus boisei","species","83068","Calabrian","","1.806","0.781","4447"
"223208","occ","","","21515","Australopithecus boisei","species","83068","Late Pliocene","Calabrian","3.6","0.781","8610"
"223220","occ","","","21515","Australopithecus boisei","species","83068","Late Pliocene","Calabrian","3.6","0.781","8610"
"223225","occ","","","21519","Cercopithecus","genus","233952","Gelasian","","2.588","1.806","4447"
"223240","occ","","","21543","Australopithecus boisei","species","83068","Gelasian","","2.588","1.806","5263"
"223243","occ","","","21544","Theropithecus","genus","40879","Gelasian","","2.588","1.806","4768"
"223251","occ","","","21545","Theropithecus","genus","40879","Gelasian","","2.588","1.806","4769"
"223254","occ","","","21545","Hominidae","family","40899","Gelasian","","2.588","1.806","4769"
"223257","occ","","","21545","Australopithecus boisei","species","83068","Gelasian","","2.588","1.806","4769"
"223282","occ","","","21545","Homo","genus","40901","Gelasian","","2.588","1.806","4769"
"223284","occ","","","21546","Hominidae","family","40899","Late Pliocene","Piacenzian","3.6","2.588","4768"
"223319","occ","","","21546","Australopithecus","genus","40900","Late Pliocene","Piacenzian","3.6","2.588","4768"
"223323","occ","","","21547","Theropithecus","genus","40879","Gelasian","","2.588","1.806","4447"
"223325","occ","","","21547","Paracolobus","genus","40872","Gelasian","","2.588","1.806","4447"
"223339","occ","","","21549","Australopithecus","genus","40900","Piacenzian","","3.6","2.588","4486"
"223362","occ","","","21553","Australopithecus boisei","species","83068","Gelasian","","2.588","1.806","4769"
"223368","occ","","","21553","Homo","genus","40901","Gelasian","","2.588","1.806","4769"
"223375","occ","","","21554","Paracolobus","genus","40872","Gelasian","","2.588","1.806","4769"
"223382","occ","","","21555","Theropithecus","genus","40879","Gelasian","","2.588","1.806","4447"
"223385","occ","","","21555","Paracolobus","genus","40872","Gelasian","","2.588","1.806","4447"
"223386","occ","","","21555","Hominidae","family","40899","Gelasian","","2.588","1.806","4447"
"223393","occ","","","21555","Australopithecus","genus","40900","Gelasian","","2.588","1.806","4447"
"223396","occ","","","21556","Australopithecus","genus","40900","Gelasian","","2.588","1.806","4486"
"223398","occ","","","21557","Australopithecus boisei","species","83068","Gelasian","","2.588","1.806","4486"
"223408","occ","","","21560","Theropithecus","genus","40879","Gelasian","","2.588","1.806","4486"
"223412","occ","","","21561","Australopithecus boisei","species","83068","Gelasian","","2.588","1.806","4447"
"223427","occ","","","21564","Theropithecus","genus","40879","Gelasian","","2.588","1.806","4763"
"223440","occ","","","21566","Australopithecus boisei","species","83068","Gelasian","","2.588","1.806","4769"
"223451","occ","","","21566","Australopithecus","genus","40900","Gelasian","","2.588","1.806","4769"
"223465","occ","","","21568","Paracolobus","genus","40872","Gelasian","","2.588","1.806","4447"
"223470","occ","","","21569","Paracolobus","genus","40872","Gelasian","","2.588","1.806","4447"
"223472","occ","","","21570","Theropithecus","genus","40879","Gelasian","","2.588","1.806","4769"
"223480","occ","","","21571","Theropithecus","genus","40879","Gelasian","","2.588","1.806","4763"
"223487","occ","","","21572","Theropithecus","genus","40879","Gelasian","","2.588","1.806","4486"
"223489","occ","","","21573","Theropithecus","genus","40879","Gelasian","","2.588","1.806","4763"
"223494","occ","","","21574","Theropithecus","genus","40879","Gelasian","","2.588","1.806","4769"
"223503","occ","","","21578","Theropithecus oswaldi","species","133586","Gelasian","","2.588","1.806","4769"
"223509","occ","","","21580","Hominidae","family","40899","Gelasian","","2.588","1.806","4486"
"223520","occ","","","21583","Theropithecus oswaldi","species","133586","Gelasian","","2.588","1.806","4768"
"223531","occ","","","21586","Hominidae","family","40899","Gelasian","","2.588","1.806","4769"
"223535","occ","","","21587","Theropithecus","genus","40879","Gelasian","","2.588","1.806","4447"
"223546","occ","","","21591","Homo habilis","species","83082","Gelasian","","2.588","1.806","4486"
"223550","occ","","","21592","Paracolobus","genus","40872","Gelasian","","2.588","1.806","4447"
"223558","occ","","","21595","Theropithecus","genus","40879","Gelasian","","2.588","1.806","4769"
"223571","occ","","","21599","Australopithecus","genus","40900","Piacenzian","","3.6","2.588","4486"
"223575","occ","","","21600","Australopithecus","genus","40900","Piacenzian","","3.6","2.588","5263"
"223580","occ","","","21602","Theropithecus","genus","40879","Gelasian","","2.588","1.806","4447"
"223586","occ","","","21605","Theropithecus","genus","40879","Gelasian","","2.588","1.806","4769"
"223587","occ","","","21605","Cercopithecidae","family","40860","Gelasian","","2.588","1.806","4769"
"223589","occ","","","21606","Theropithecus","genus","40879","Gelasian","","2.588","1.806","4768"
"223592","occ","","","21607","Paracolobus","genus","40872","Gelasian","","2.588","1.806","4447"
"223593","occ","","","21607","Hominidae","family","40899","Gelasian","","2.588","1.806","4447"
"223599","occ","","","21608","Cercopithecus","genus","233952","Piacenzian","","3.6","2.588","4769"
"223605","occ","","","21608","Theropithecus","genus","40879","Piacenzian","","3.6","2.588","4769"
"223609","occ","","","21608","Paracolobus","genus","40872","Piacenzian","","3.6","2.588","4769"
"223611","occ","","","21608","Cercopithecidae","family","40860","Piacenzian","","3.6","2.588","4769"
"223625","occ","","","21609","Theropithecus","genus","40879","Gelasian","","2.588","1.806","4768"
"223631","occ","","","21610","Theropithecus oswaldi","species","133586","Gelasian","","2.588","1.806","5263"
"223636","occ","","","21610","Hominidae","family","40899","Gelasian","","2.588","1.806","5263"
"223643","occ","","","21611","Theropithecus","genus","40879","Gelasian","","2.588","1.806","4768"
"223650","occ","","","21613","Theropithecus","genus","40879","Gelasian","","2.588","1.806","4730"
"223651","occ","","","21613","Australopithecus","genus","40900","Gelasian","","2.588","1.806","4730"
"223656","occ","","","21614","Paracolobus","genus","40872","Gelasian","","2.588","1.806","4768"
"223657","occ","","","21614","Hominidae","family","40899","Gelasian","","2.588","1.806","4768"
"223675","occ","","","21617","Cercopithecus","genus","233952","Gelasian","","2.588","1.806","4769"
"223676","occ","","","21617","Paracolobus","genus","40872","Gelasian","","2.588","1.806","4769"
"223677","occ","","","21617","Hominidae","family","40899","Gelasian","","2.588","1.806","4769"
"223680","occ","","","21618","Australopithecus boisei","species","83068","Gelasian","","2.588","1.806","4447"
"223681","occ","","","21618","Hominidae","family","40899","Gelasian","","2.588","1.806","4447"
"223688","occ","","","21618","Australopithecus","genus","40900","Gelasian","","2.588","1.806","4447"
"223692","occ","","","21619","Theropithecus oswaldi","species","133586","Gelasian","","2.588","1.806","4769"
"223700","occ","","","21620","Australopithecus","genus","40900","Gelasian","","2.588","1.806","4769"
"223707","occ","","","21621","Theropithecus oswaldi","species","133586","Gelasian","","2.588","1.806","4447"
"223715","occ","","","21621","Paracolobus","genus","40872","Gelasian","","2.588","1.806","4447"
"223718","occ","","","21621","Homo habilis","species","83082","Gelasian","","2.588","1.806","4447"
"223736","occ","","","21625","Theropithecus oswaldi","species","133586","Gelasian","","2.588","1.806","4486"
"223743","occ","","","21625","Theropithecus","genus","40879","Gelasian","","2.588","1.806","4486"
"223746","occ","","","21625","Hominidae","family","40899","Gelasian","","2.588","1.806","4486"
"223747","occ","","","21625","Australopithecus boisei","species","83068","Gelasian","","2.588","1.806","4486"
"223748","occ","","","21625","Homo habilis","species","83082","Gelasian","","2.588","1.806","4486"
"223765","occ","","","21626","Homo","genus","40901","Gelasian","","2.588","1.806","5263"
"223770","occ","","","21626","Hominidae","family","40899","Gelasian","","2.588","1.806","5263"
"223771","occ","","","21626","Australopithecus boisei","species","83068","Gelasian","","2.588","1.806","5263"
"223785","occ","","","21627","Theropithecus","genus","40879","Gelasian","","2.588","1.806","4486"
"223789","occ","","","21627","Hominidae","family","40899","Gelasian","","2.588","1.806","4486"
"223790","occ","","","21627","Australopithecus boisei","species","83068","Gelasian","","2.588","1.806","4486"
"223796","occ","","","21627","Cercopithecidae","family","40860","Gelasian","","2.588","1.806","4486"
"223804","occ","","","21628","Theropithecus","genus","40879","Gelasian","","2.588","1.806","4730"
"223816","occ","","","21629","Hominidae","family","40899","Late Pliocene","Calabrian","3.6","0.781","4486"
"223819","occ","","","21630","Theropithecus","genus","40879","Gelasian","","2.588","1.806","4486"
"223821","occ","","","21630","Australopithecus","genus","40900","Gelasian","","2.588","1.806","4486"
"223830","occ","","","21632","Cercopithecus","genus","233952","Gelasian","","2.588","1.806","4769"
"223831","occ","","","21632","Theropithecus oswaldi","species","133586","Gelasian","","2.588","1.806","4769"
"223836","occ","","","21632","Theropithecus","genus","40879","Gelasian","","2.588","1.806","4769"
"223839","occ","","","21632","Paracolobus","genus","40872","Gelasian","","2.588","1.806","4769"
"223840","occ","","","21632","Hominidae","family","40899","Gelasian","","2.588","1.806","4769"
"223841","occ","","","21632","Colobinae","subfamily","234343","Gelasian","","2.588","1.806","4769"
"223861","occ","","","21632","Australopithecus","genus","40900","Gelasian","","2.588","1.806","4769"
"223862","occ","","","21632","Australopithecus boisei","species","83068","Gelasian","","2.588","1.806","4769"
"223880","occ","","","21635","Paracolobus","genus","40872","Gelasian","","2.588","1.806","4447"
"223890","occ","","","21637","Hominidae","family","40899","Piacenzian","","3.6","2.588","4486"
"223902","occ","","","21640","Theropithecus","genus","40879","Piacenzian","","3.6","2.588","4447"
"223906","occ","","","21640","Paracolobus","genus","40872","Piacenzian","","3.6","2.588","4447"
"223907","occ","","","21640","Hominidae","family","40899","Piacenzian","","3.6","2.588","4447"
"223908","occ","","","21640","Cercopithecidae","family","40860","Piacenzian","","3.6","2.588","4447"
"223916","occ","","","21640","Australopithecus","genus","40900","Piacenzian","","3.6","2.588","4447"
"223919","occ","","","21641","Australopithecus boisei","species","83068","Gelasian","","2.588","1.806","4486"
"223925","occ","","","21642","Paracolobus","genus","40872","Gelasian","","2.588","1.806","4447"
"223936","occ","","","21645","Theropithecus oswaldi","species","133586","Gelasian","","2.588","1.806","4769"
"223938","occ","","","21645","Hominidae","family","40899","Gelasian","","2.588","1.806","4769"
"223943","occ","","","21646","Theropithecus","genus","40879","Gelasian","","2.588","1.806","4763"
"223947","occ","","","21647","Hominidae","family","40899","Gelasian","","2.588","1.806","4447"
"223948","occ","","","21647","Australopithecus boisei","species","83068","Gelasian","","2.588","1.806","4447"
"223951","occ","","","21648","Hominidae","family","40899","Gelasian","","2.588","1.806","4486"
"223952","occ","","","21648","Australopithecus boisei","species","83068","Gelasian","","2.588","1.806","4486"
"223954","occ","","","21649","Theropithecus","genus","40879","Gelasian","","2.588","1.806","4486"
"223956","occ","","","21649","Hominidae","family","40899","Gelasian","","2.588","1.806","4486"
"223961","occ","","","21651","Theropithecus","genus","40879","Gelasian","","2.588","1.806","4769"
"223963","occ","","","21651","Paracolobus","genus","40872","Gelasian","","2.588","1.806","4769"
"223968","occ","","","21652","Theropithecus","genus","40879","Gelasian","","2.588","1.806","4447"
"223970","occ","","","21652","Cercopithecidae","family","40860","Gelasian","","2.588","1.806","4447"
"223988","occ","","","21654","Hominidae","family","40899","Gelasian","","2.588","1.806","4768"
"223995","occ","","","21654","Cercopithecidae","family","40860","Gelasian","","2.588","1.806","4768"
"224003","occ","","","21656","Paracolobus","genus","40872","Gelasian","","2.588","1.806","4447"
"224013","occ","","","21657","Theropithecus","genus","40879","Gelasian","","2.588","1.806","4769"
"224014","occ","","","21657","Australopithecus boisei","species","83068","Gelasian","","2.588","1.806","4769"
"224015","occ","","","21657","Hominidae","family","40899","Gelasian","","2.588","1.806","4769"
"224017","occ","","","21657","Colobinae","subfamily","234343","Gelasian","","2.588","1.806","4769"
"224027","occ","","","21658","Hominidae","family","40899","Gelasian","","2.588","1.806","4769"
"224035","occ","","","21659","Theropithecus","genus","40879","Gelasian","","2.588","1.806","4763"
"224044","occ","","","21661","Theropithecus","genus","40879","Gelasian","","2.588","1.806","5263"
"224045","occ","","","21661","Hominidae","family","40899","Gelasian","","2.588","1.806","5263"
"224048","occ","","","21661","Australopithecus","genus","40900","Gelasian","","2.588","1.806","5263"
"224051","occ","","","21662","Theropithecus","genus","40879","Gelasian","","2.588","1.806","4769"
"224055","occ","","","21662","Hominidae","family","40899","Gelasian","","2.588","1.806","4769"
"224057","occ","","","21662","Cercopithecidae","family","40860","Gelasian","","2.588","1.806","4769"
"224059","occ","","","21663","Theropithecus oswaldi","species","133586","Gelasian","","2.588","1.806","4447"
"224060","occ","","","21663","Theropithecus","genus","40879","Gelasian","","2.588","1.806","4447"
"224061","occ","","","21663","Australopithecus boisei","species","83068","Gelasian","","2.588","1.806","4447"
"224070","occ","","","21666","Theropithecus oswaldi","species","133586","Gelasian","","2.588","1.806","4447"
"224085","occ","","","21668","Theropithecus oswaldi","species","133586","Gelasian","","2.588","1.806","5263"
"224088","occ","","","21668","Theropithecus","genus","40879","Gelasian","","2.588","1.806","5263"
"224090","occ","","","21668","Australopithecus boisei","species","83068","Gelasian","","2.588","1.806","5263"
"224091","occ","","","21668","Paracolobus","genus","40872","Gelasian","","2.588","1.806","5263"
"224099","occ","","","21669","Theropithecus oswaldi","species","133586","Gelasian","","2.588","1.806","5263"
"224100","occ","","","21669","Theropithecus","genus","40879","Gelasian","","2.588","1.806","5263"
"224101","occ","","","21669","Hominidae","family","40899","Gelasian","","2.588","1.806","5263"
"224103","occ","","","21670","Theropithecus oswaldi","species","133586","Gelasian","","2.588","1.806","4447"
"224104","occ","","","21670","Theropithecus","genus","40879","Gelasian","","2.588","1.806","4447"
"224112","occ","","","21671","Homo","genus","40901","Gelasian","","2.588","1.806","4769"
"224118","occ","","","21671","Hominidae","family","40899","Gelasian","","2.588","1.806","4769"
"224123","occ","","","21672","Theropithecus oswaldi","species","133586","Gelasian","","2.588","1.806","4769"
"224131","occ","","","21673","Theropithecus","genus","40879","Gelasian","","2.588","1.806","4447"
"224133","occ","","","21673","Paracolobus","genus","40872","Gelasian","","2.588","1.806","4447"
